station,time,start_time,end_time,probability,phase,amp_z,amp_n,amp_e,nos_z,nos_n,nos_e,rms_z,rms_n,rms_e,snr_z,snr_n,snr_e,source
IC.LSA,2008-10-01 00:40:46.863300,2008-10-01 00:40:45.863300,2008-10-01 00:40:47.183300,0.11313009,P,1.857501606850132e-08,1.5229120034291496e-08,1.0157022182712193e-08,5.155867129314956e-09,6.027435619286009e-09,5.723455693554214e-09,6.38791206070797e-09,6.8102146990180515e-09,5.1319362839686115e-09,1.039291962925797,1.0332080724252282,1.1928839295246345,diting
IC.LSA,2008-10-01 00:40:48.463300,2008-10-01 00:40:48.403300,2008-10-01 00:40:49.283300,0.074843735,P,1.3541793532753297e-08,1.5229120034291496e-08,1.1330982459464683e-08,6.868464630385298e-09,5.254775722957485e-09,5.972759847684243e-09,5.646478507507444e-09,6.370077024205909e-09,6.3367934802902525e-09,1.5051692315996303,0.98006111281849,1.3215923481122882,diting
IC.LSA,2008-10-01 01:02:44.923300,2008-10-01 01:02:44.923300,2008-10-01 01:02:45.143300,0.07005007,P,1.0935725132178311e-07,2.2130806734900528e-08,3.348548290933539e-08,5.478808494956314e-09,6.3488785215301254e-09,6.566533354475932e-09,3.687700014526584e-08,1.4754003453290612e-08,1.7738566608754117e-08,4.823767321054544,1.6544974892209912,3.284916107864071,diting
IC.LSA,2008-10-01 01:50:36.303300,2008-10-01 01:50:36.183300,2008-10-01 01:50:36.523300,0.08029245,P,2.0901163169310443e-07,3.055493420823083e-07,1.103943584665501e-07,8.621756984564862e-09,9.426544189642944e-09,8.42802369674325e-09,8.953156625740848e-08,1.2402972414671446e-07,5.9142268346951584e-08,6.439826942895806,9.28120939352601,4.095908111688154,diting
IC.LSA,2008-10-01 02:06:27.263300,2008-10-01 02:06:27.123300,2008-10-01 02:06:27.503300,0.2666163,P,4.5466391759627605e-08,6.148321522731786e-08,2.057491901483871e-08,7.916455473619825e-09,5.605283902467166e-09,5.92678912711773e-09,2.4019077656379175e-08,3.2388689997856563e-08,9.210387818889196e-09,2.242369666932453,3.3636297072126458,1.2863796317447451,diting
IC.LSA,2008-10-01 02:31:13.163300,2008-10-01 02:31:13.023300,2008-10-01 02:31:13.423300,0.28657573,P,1.883136405622628e-08,1.8912355141186434e-08,1.5201566266693684e-08,5.552779841124619e-09,1.1401270768084511e-08,7.168553949361173e-09,8.018862626400443e-09,8.543512780074998e-09,8.092788209158222e-09,2.4037432754825474,0.8870364458806952,1.0787137274231817,diting
IC.LSA,2008-10-01 02:43:30.343300,2008-10-01 02:43:30.303300,2008-10-01 02:43:30.643300,0.10456495,P,2.1258446018175498e-08,2.750784491233622e-08,1.7414581230421016e-08,6.685246583024797e-09,8.315058255939853e-09,6.232334070412446e-09,1.2149936448045114e-08,1.1068588620314172e-08,6.627945416496379e-09,1.8069004642338542,1.69758010846137,1.060294279913983,diting
IC.LSA,2008-10-01 03:13:07.743300,2008-10-01 03:13:07.623300,2008-10-01 03:13:08.043300,0.08757151,P,2.1054754974207023e-08,1.7771391835018403e-08,1.9086051734440454e-08,7.552741751089878e-09,8.298323839162502e-09,7.579531960137197e-09,7.883085144924109e-09,7.477383831438567e-09,7.406962478444996e-09,1.4654791115374748,1.2556713456854676,0.9011288654090938,diting
IC.LSA,2008-10-01 03:55:12.343300,2008-10-01 03:55:12.183300,2008-10-01 03:55:12.823300,0.099451326,P,1.6138824554086996e-08,1.733233857187434e-08,9.827535415907892e-09,9.556738360157726e-09,8.189618122951665e-09,6.3254099886756645e-09,8.135280510403179e-09,6.434425355641696e-09,4.8695895171517875e-09,1.2338868671554175,0.7238851816867297,0.9617377040412461,diting
IC.LSA,2008-10-01 03:55:13.463300,2008-10-01 03:55:13.103300,2008-10-01 03:55:13.883300,0.15293522,P,1.9597751065299945e-08,1.3671232624963552e-08,9.827535415907892e-09,7.594813935525015e-09,8.58261161509148e-09,6.665333588366266e-09,8.080306195020464e-09,6.454980387872118e-09,5.728654745279812e-09,1.5325126272160443,0.6436036293998177,0.9481858434352716,diting
IC.LSA,2008-10-01 04:42:39.583300,2008-10-01 04:42:38.503300,2008-10-01 04:42:40.323300,0.14321838,P,1.3077827108830799e-08,1.4215228346734805e-08,1.5967364412064592e-08,7.0336512169172844e-09,7.405460625193046e-09,6.516501171746582e-09,4.401446572595187e-09,7.1347982344118766e-09,7.151824522478464e-09,1.0722146135409578,2.3491724673923366,1.5087583200025751,diting
IC.LSA,2008-10-01 04:44:53.323300,2008-10-01 04:44:53.083300,2008-10-01 04:44:53.623300,0.93340683,P,3.6207186788776264e-07,1.7744468924054608e-07,3.172958275386572e-07,9.963121309350715e-09,6.388243236000834e-09,7.59952758092808e-09,1.440010801164374e-07,1.0507219457428179e-07,1.2858561900519004e-07,61.933296078378476,17.960733110620037,41.20750676933781,diting
IC.LSA,2008-10-01 04:51:24.423300,2008-10-01 04:51:24.383300,2008-10-01 04:51:24.703300,0.07505318,P,1.6497855235305882e-08,1.61960793215873e-08,1.3774779690780318e-08,6.724992407687875e-09,1.0279795247474727e-08,5.897342910437642e-09,6.2999794933118116e-09,9.311166495058643e-09,4.3398123001024166e-09,1.2737784793538878,1.441071778244337,1.3585419467688769,diting
IC.LSA,2008-10-01 04:54:46.143300,2008-10-01 04:54:45.963300,2008-10-01 04:54:46.443300,0.15238172,P,1.751779699771429e-08,1.614190617073288e-08,1.3390000989819226e-08,9.352026871224087e-09,5.837069649666604e-09,7.241059010375658e-09,6.162568458102473e-09,6.484531928239975e-09,6.005846529912412e-09,1.0545203289504428,1.162696341267777,0.7780684301421629,diting
IC.LSA,2008-10-01 05:00:57.743300,2008-10-01 05:00:57.523300,2008-10-01 05:00:58.003300,0.116567515,P,2.042048389624824e-08,2.0165202775231358e-08,1.5625225049303394e-08,1.0849968479515613e-08,8.141405717373422e-09,6.308422014346416e-09,7.68612502913045e-09,7.378051383669372e-09,6.832007311426358e-09,1.4155290541951742,0.8728753099079213,0.9791726608851075,diting
IC.LSA,2008-10-01 06:34:27.323300,2008-10-01 06:34:26.943300,2008-10-01 06:34:27.743300,0.82186854,P,1.2279870591892306e-08,1.570855000514044e-08,1.341531255245964e-08,4.805854479172258e-09,5.012563810700931e-09,6.321155052887558e-09,6.865536909799202e-09,7.060595689406953e-09,8.413119476895964e-09,2.6318871171232225,2.740858175195132,2.973156059026879,diting
IC.LSA,2008-10-01 06:49:42.223300,2008-10-01 06:49:42.083300,2008-10-01 06:49:42.423300,0.11692053,P,1.80447501985636e-08,1.0933167844418368e-08,1.6810070270124067e-08,5.477975918426656e-09,5.892133629352916e-09,9.335240257117769e-09,6.7300036508396645e-09,8.415605403734536e-09,5.7225675046402215e-09,1.9541696309698389,1.0808401321159289,1.4261812352862189,diting
IC.LSA,2008-10-01 07:38:24.703300,2008-10-01 07:38:24.703300,2008-10-01 07:38:24.883300,0.30084997,P,1.972335364833025e-08,2.0661138593046333e-08,1.515492156022212e-08,8.623612418487818e-09,7.841596596628472e-09,4.9051836404771235e-09,1.028991731026855e-08,1.0220393864719352e-08,6.470034877765942e-09,1.2392412947941878,1.535332285699185,1.2052146915586541,diting
IC.LSA,2008-10-01 07:46:22.583300,2008-10-01 07:46:22.523300,2008-10-01 07:46:22.803300,0.07674422,P,1.582418419167854e-08,1.3123269264508248e-08,1.3958901491486359e-08,7.459361298433957e-09,7.50616598356161e-09,6.531382557430791e-09,4.062678486929571e-09,7.595132324783174e-09,7.176309094720785e-09,1.6732089654421805,1.0228799447257004,0.964308619460507,diting
IC.LSA,2008-10-01 08:08:37.543300,2008-10-01 08:08:37.383300,2008-10-01 08:08:37.863300,0.14663076,P,1.3646336275934692e-08,1.2973876802057653e-08,1.7657313448981177e-08,7.226474064105458e-09,9.121257932347626e-09,7.3999281852953694e-09,6.823281088677949e-09,7.2924953292804135e-09,6.849749537250815e-09,1.178688964206871,1.0402534437603408,1.3217494415050217,diting
IC.LSA,2008-10-01 09:45:19.603300,2008-10-01 09:45:19.243300,2008-10-01 09:45:19.963300,0.3268405,P,5.887040681397775e-07,1.1797188114350128e-07,2.3323989069062298e-07,2.2744198338354556e-08,6.103864500132793e-09,1.2938776211971845e-08,2.4580072076987683e-07,5.589519988929738e-08,1.760271110589568e-07,12.396789384390885,4.299773818567512,9.940305732098196,diting
IC.LSA,2008-10-01 09:54:20.283300,2008-10-01 09:54:20.223300,2008-10-01 09:54:20.663300,0.0776744,P,2.0017665731921828e-08,2.110471343358667e-08,1.2100292057694143e-08,9.641372557426547e-09,9.702173906442545e-09,8.082035696424198e-09,1.009411322917142e-08,9.107201384133638e-09,6.983279282277224e-09,1.4639872745189557,1.2317534396209338,0.8790000611819936,diting
IC.LSA,2008-10-01 10:23:24.963300,2008-10-01 10:23:24.943300,2008-10-01 10:23:25.183300,0.072507724,P,1.2420519350183375e-08,1.4802493255381516e-08,9.314567040916517e-09,6.388427027684164e-09,5.782346154679647e-09,6.150028954698294e-09,7.15493527237705e-09,7.276275359758537e-09,5.424870761087613e-09,1.4763349612083148,0.9570080640081526,1.1133806111184257,diting
IC.LSA,2008-10-01 11:06:29.563300,2008-10-01 11:06:29.323300,2008-10-01 11:06:29.943300,0.10092269,P,1.563386845885543e-08,1.8637489469512878e-08,1.1994272670978991e-08,7.58791673983514e-09,6.530319675826246e-09,6.597395439398831e-09,1.3482481745163566e-08,7.982928371789892e-09,5.650030511052253e-09,2.578083813094194,1.134073328283632,1.1777021739188458,diting
IC.LSA,2008-10-01 11:08:02.123300,2008-10-01 11:08:01.983300,2008-10-01 11:08:02.443300,0.10988776,P,1.7475425359562954e-08,1.8138222227616922e-08,8.252127658914681e-09,7.541170596468104e-09,8.243787060426524e-09,9.790930167699936e-09,1.276261686072531e-08,9.376293497713334e-09,5.322033819789642e-09,1.56779352127805,1.0486504878655476,0.7839626895854385,diting
IC.LSA,2008-10-01 11:09:11.883300,2008-10-01 11:09:11.763300,2008-10-01 11:09:12.123300,0.087424114,P,1.8328097572933865e-08,1.2162817159174414e-08,1.1394290923834274e-08,6.277696343649319e-09,4.88254938316141e-09,4.3947446948987345e-09,6.698092571758104e-09,6.676681228020654e-09,4.406463114298377e-09,2.202069437892529,0.9649596027994719,1.021180068003623,diting
IC.LSA,2008-10-01 11:10:58.263300,2008-10-01 11:10:58.143300,2008-10-01 11:10:58.583300,0.28645915,P,2.2369414583860346e-08,1.0290654241158348e-08,1.1708383441538047e-08,6.2052041759955815e-09,4.4383071811250215e-09,5.599347136947744e-09,6.913169144507343e-09,8.958082919318052e-09,6.524620738779408e-09,2.499603561390882,1.1182625023989516,1.2802272747984496,diting
IC.LSA,2008-10-01 11:13:24.683300,2008-10-01 11:13:24.643300,2008-10-01 11:13:24.983300,0.12324413,P,2.6356332786473312e-08,2.9274993338125587e-08,1.1339602790833853e-08,5.980573267338394e-09,7.072941850831215e-09,7.007920477925207e-09,9.110899339930518e-09,1.2579240605241243e-08,5.399463303838492e-09,1.7242795599764829,1.4944882049679373,1.1629132616391804,diting
IC.LSA,2008-10-01 11:19:22.243300,2008-10-01 11:19:22.243300,2008-10-01 11:19:22.543300,0.07214651,P,1.0064323529671947e-08,1.7966654664541836e-08,9.772920869099236e-09,6.711068587644117e-09,5.851275695720684e-09,3.81863187984813e-09,5.6718936033712534e-09,7.926054643764394e-09,3.4584540623888596e-09,2.0843590690661977,2.791230914662019,0.8450666957951237,diting
IC.LSA,2008-10-01 11:27:46.143300,2008-10-01 11:27:45.983300,2008-10-01 11:27:46.343300,0.12446497,P,7.220846913165297e-09,9.419077761044136e-09,2.3980783509317978e-08,4.49906206663607e-09,5.943686316045653e-09,3.498652024964924e-09,7.5778636480704e-09,4.280237937464365e-09,5.1247603989749215e-09,2.3350356950795472,0.8195218937115392,1.4595506156666238,diting
IC.LSA,2008-10-01 11:29:36.363300,2008-10-01 11:29:36.283300,2008-10-01 11:29:36.703300,0.08309811,P,3.3675758451068416e-08,2.1716182608534766e-08,1.0263347975201796e-08,9.340506306651196e-09,6.253617766485768e-09,5.38280005664955e-09,1.1890259420467268e-08,9.029747048543631e-09,5.670433281258004e-09,1.4824429801498815,1.6594012035817205,0.998207581085794,diting
IC.LSA,2008-10-01 11:30:13.223300,2008-10-01 11:30:13.223300,2008-10-01 11:30:13.483300,0.07097519,P,8.102212167095794e-09,1.3453486958722233e-08,1.0053851692388583e-08,6.704222298488471e-09,5.093407293634669e-09,4.345172964255714e-09,5.327069421601334e-09,9.783213930652242e-09,6.18305427297041e-09,1.56553293404528,0.9618522130881375,1.3175926630624517,diting
IC.LSA,2008-10-01 11:31:27.203300,2008-10-01 11:31:27.203300,2008-10-01 11:31:27.483300,0.07067313,P,8.786254459303415e-09,2.042653287742306e-08,1.4218181013351235e-08,5.588155651282398e-09,5.566847654877469e-09,6.188911882318286e-09,4.715198304638259e-09,7.96205790232405e-09,7.46646149881607e-09,1.686561086423403,1.5729847949592344,1.0620813029998357,diting
IC.LSA,2008-10-01 11:31:51.743300,2008-10-01 11:31:51.623300,2008-10-01 11:31:52.003300,0.09627336,P,2.121403788363957e-08,1.7794964621064426e-08,1.2008522129038738e-08,1.213710646462621e-08,4.221241715527606e-09,5.441308277810803e-09,9.286949456756883e-09,9.323277245561278e-09,5.859323120091797e-09,1.34144074543737,1.0754452450822274,0.812293400925727,diting
IC.LSA,2008-10-01 12:02:37.883300,2008-10-01 12:02:37.823300,2008-10-01 12:02:38.043300,0.10861274,P,1.337487297016518e-08,1.0391473778559147e-08,1.3805818724995749e-08,4.770486276026653e-09,5.866712966339545e-09,5.437523095953601e-09,7.92631996529549e-09,4.260305183549355e-09,6.302192874467683e-09,1.7831024814763514,1.9052882925535468,1.7081364143918851,diting
IC.LSA,2008-10-01 12:47:59.583300,2008-10-01 12:47:59.383300,2008-10-01 12:47:59.903300,0.1135578,P,8.319739329653395e-09,1.0326214979547574e-08,1.3250693811103251e-08,5.4217014833634644e-09,4.233872531066108e-09,5.807639441299571e-09,4.901785488742063e-09,5.371698084587151e-09,6.156985492988909e-09,1.2582406519844114,0.9965132300429862,1.0400551613925828,diting
IC.LSA,2008-10-01 14:43:10.643300,2008-10-01 14:43:10.483300,2008-10-01 14:43:10.883300,0.09589394,P,6.27582596899025e-09,9.82541339246482e-09,8.514871009761122e-09,4.379701203083786e-09,3.3690712296847546e-09,4.229328753882993e-09,3.0530293415400148e-09,4.573807359411125e-09,3.2991316851766195e-09,1.0614283072727366,0.8059928060096462,0.8314141607169748,diting
IC.LSA,2008-10-01 15:11:01.843300,2008-10-01 15:11:01.583300,2008-10-01 15:11:02.163300,0.966595,P,1.308755138659104e-08,1.2492232553229868e-08,9.512393966163693e-09,2.896569608711096e-09,5.315377990751816e-09,2.368015298067759e-09,5.927969502411e-09,5.065684761281405e-09,5.1817484532829315e-09,4.66960793030016,2.6663529574302585,3.8708058222757624,diting
IC.LSA,2008-10-01 15:14:05.903300,2008-10-01 15:14:05.443300,2008-10-01 15:14:06.903300,0.12790836,P,8.42235065897329e-09,8.647482969464828e-09,7.806955526881562e-09,3.072530946794126e-09,3.5396553572199346e-09,3.0175024477834094e-09,4.503854653397155e-09,4.701726065648836e-09,3.892917416111462e-09,1.5126484400752462,1.52402255357021,1.0867310780113624,diting
IC.LSA,2008-10-01 15:23:38.683300,2008-10-01 15:23:38.323300,2008-10-01 15:23:39.023300,0.76689917,P,1.3081077612700961e-08,9.880445987815877e-09,9.349496822821185e-09,3.6523134191201455e-09,2.7241809097866884e-09,2.6442025432781058e-09,6.07883328540271e-09,4.384746993796395e-09,4.047773846214287e-09,2.7754198014579847,1.4503177039692312,1.9342910782658234,diting
IC.LSA,2008-10-01 15:30:28.723300,2008-10-01 15:30:28.503300,2008-10-01 15:30:29.083300,0.17037524,P,1.0336564598097516e-08,9.08198743466766e-09,7.327272140678298e-09,3.853444836733017e-09,3.912081102950645e-09,4.149231293287925e-09,3.270137524975443e-09,4.646518723771854e-09,2.9805323153798553e-09,2.025080098528603,1.72400797157032,1.6357479576503535,diting
IC.LSA,2008-10-01 15:45:07.543300,2008-10-01 15:45:06.883300,2008-10-01 15:45:08.483300,0.23927897,P,2.3086123765049964e-08,1.0936001283039851e-08,1.3284070584099823e-08,4.863089446105757e-09,5.075975987240273e-09,3.491417972198883e-09,1.1097547338495736e-08,7.281440488522851e-09,7.958826490947055e-09,1.5197634683548493,1.1200351951832885,1.2731738374744863,diting
IC.LSA,2008-10-01 15:59:11.483300,2008-10-01 15:59:11.103300,2008-10-01 15:59:11.843300,0.8992532,P,6.280152484858046e-09,7.295286324170203e-09,1.0990884169755066e-08,4.2389834894754035e-09,3.129359567088952e-09,4.096329644244937e-09,3.320292849507053e-09,3.218008975029828e-09,5.191739579648032e-09,3.384344413017156,1.6124001861437982,1.6132904465032811,diting
IC.LSA,2008-10-01 16:24:22.123300,2008-10-01 16:24:22.063300,2008-10-01 16:24:22.363300,0.11977725,P,1.4936001480701953e-08,7.372094079993528e-09,6.6959841346746155e-09,3.5278862866161097e-09,2.90227278938674e-09,2.8124882519323187e-09,6.01754150202132e-09,4.450990400213086e-09,3.2689228532721214e-09,1.9424378524821162,1.4131529570264745,2.0338155826695528,diting
IC.LSA,2008-10-01 16:34:08.823300,2008-10-01 16:34:08.763300,2008-10-01 16:34:09.303300,0.09720228,P,7.997140736532715e-09,7.751175863726932e-09,6.649652003593169e-09,6.177365682467252e-09,3.889065441955771e-09,2.5864703476376753e-09,4.554566261722932e-09,4.39268905973835e-09,3.1496566958578077e-09,1.5378596298046532,1.8213451104292409,1.612607973774297,diting
IC.LSA,2008-10-01 16:43:15.843300,2008-10-01 16:43:15.723300,2008-10-01 16:43:16.083300,0.078604646,P,1.1782259487570012e-08,1.0354332622373685e-08,7.201623591715922e-09,3.725737563606017e-09,3.1642061929695213e-09,3.783016859944454e-09,4.5479867102172095e-09,4.4372588792134054e-09,3.309891926404445e-09,1.1549864808357706,1.3854415585878959,0.879543201711451,diting
IC.LSA,2008-10-01 16:59:17.603300,2008-10-01 16:59:17.363300,2008-10-01 16:59:17.903300,0.36764905,P,1.023179545217348e-08,1.106881057714118e-08,6.727896391770648e-09,5.106882927250088e-09,4.00861351641957e-09,2.9084751844727214e-09,4.653508866739705e-09,4.588782213663119e-09,3.5752065568105778e-09,1.1686202651475401,1.0907178978747472,1.1597959527685635,diting
IC.LSA,2008-10-01 17:10:07.783300,2008-10-01 17:10:07.603300,2008-10-01 17:10:08.023300,0.15625845,P,6.683079205894282e-09,6.399780005311801e-09,9.952334936232673e-09,5.348842913893922e-09,2.098024110543174e-09,2.7508807833567226e-09,3.846158634683483e-09,2.967540124715019e-09,5.469065507481445e-09,2.7012921219320964,2.3431818104204214,2.6361904623536234,diting
